primary_label,secondary_labels,rating,filename,source,length,fold
bird,[],5.0,00053d90-e4b9-4045-a2f1-f39efc90cfa9.ogg,birdvox,320000,-2
nocall,[],5.0,000db435-a40f-4ad9-a74e-d1af284d2c44.ogg,birdvox,320000,-2
bird,[],5.0,001059c0-e04f-42fc-a8e2-11aad24dc6fb.ogg,birdvox,320000,-2
nocall,[],5.0,00106202-f61e-467d-a80f-070d90421952.ogg,birdvox,320000,-2
nocall,[],5.0,00129593-77ca-40b2-a512-75d178071250.ogg,birdvox,320000,-2
nocall,[],5.0,00143c1f-bcac-47f6-a83d-81b2975ccca3.ogg,birdvox,320000,-2
bird,[],5.0,00160fdf-5231-461b-acd7-1db41abf3ee5.ogg,birdvox,320000,-2
nocall,[],5.0,00162d26-57e6-4924-a247-5f58963f1403.ogg,birdvox,320000,-2
nocall,[],5.0,001ac3fe-c23a-4366-a16d-8d59f021b17e.ogg,birdvox,320000,-2
nocall,[],5.0,001ac895-0e9c-41d8-a76c-65c73c4a8d11.ogg,birdvox,320000,-2
bird,[],5.0,001b8d8a-4247-4c46-a11b-b868fa3edb0a.ogg,birdvox,320000,-2
bird,[],5.0,001d5212-6378-4a5d-aa3c-b1115d02ee79.ogg,birdvox,320000,-2
bird,[],5.0,00246270-9f15-4da5-ab79-6af92f56cf5b.ogg,birdvox,320000,-2
bird,[],5.0,0029b258-932f-4173-a4ae-82f2d58c1eee.ogg,birdvox,320000,-2
bird,[],5.0,00367f8b-18e4-48f3-ad60-f2ce73856150.ogg,birdvox,320000,-2
nocall,[],5.0,0037f1c8-2a40-4bb6-a6a5-04bfb65566a3.ogg,birdvox,320000,-2
bird,[],5.0,0039d051-6d86-4e2f-ac60-6c41e71b9176.ogg,birdvox,320000,-2
nocall,[],5.0,004c09d5-3054-4832-acb0-4ff15be8a855.ogg,birdvox,320000,-2
bird,[],5.0,0051c651-80d9-4204-abbb-359aed40a9a0.ogg,birdvox,320000,-2
bird,[],5.0,0055615b-c316-43d7-a789-a0f6c2983081.ogg,birdvox,320000,-2
bird,[],5.0,005a19d0-e868-41c5-ab87-3fdaf5040a57.ogg,birdvox,320000,-2
nocall,[],5.0,005af2de-a46f-41a1-a6c1-f5b5766e967f.ogg,birdvox,320000,-2
nocall,[],5.0,005fbf9f-4cc8-4f76-a161-61127c44cc8d.ogg,birdvox,320000,-2
